Skills,Domains,cleaned_text
"Python, SQL, TensorFlow, Machine Learning, Communication",Data Scientist,python sql tensorflow machine learning communication
"HTML, CSS, JavaScript, React, Teamwork",Frontend Developer,html css javascript react teamwork
"Java, Spring, SQL, REST APIs, Problem Solving",Backend Developer,java spring sql rest apis problem solving
"Figma, Adobe XD, UI/UX Design, Creativity",Designer,figma adobe xd uiux design creativity
"Python, Django, JavaScript, React, Agile",Full Stack Python Developer,python django javascript react agile
"Financial Modeling, Excel, Communication, Risk Analysis",Finance,financial modeling excel communication risk analysis
"C++, Unreal Engine, Game Design, Teamwork",Game Developer,c unreal engine game design teamwork
"Kubernetes, Docker, AWS, CI/CD, Linux",DevOps Engineer,kubernetes docker aws cicd linux
"Java, Spring Boot, Hibernate, Microservices",Full Stack Java Developer,java spring boot hibernate microservices
"Solidity, Ethereum, JavaScript, Blockchain",Blockchain Developer,solidity ethereum javascript blockchain
"Marketing Strategy, SEO, Content Creation, Analytics",Marketing,marketing strategy seo content creation analytics
"Recruitment, HR Policies, Communication, Leadership",HR,recruitment hr policies communication leadership
"C#, .NET, SQL, ASP.NET",C# Developer,c net sql aspnet
"PHP, Laravel, MySQL, JavaScript",PHP Developer,php laravel mysql javascript
"Swift, iOS Development, Objective-C, UI/UX",Mobile Developer,swift ios development objectivec uiux
"Network Security, Penetration Testing, Firewalls",Cybersecurity Engineer,network security penetration testing firewalls
"Agile, Scrum, Project Management, Leadership",Software Project Manager,agile scrum project management leadership
"C++, Unity, Game Design, 3D Modeling",Video Game Designer,c unity game design d modeling
"Python, Pandas, SQL, Data Visualization",Data Analyst,python pandas sql data visualization
"Kubernetes, Helm, AWS, Terraform",Kubernetes Operations Engineer,kubernetes helm aws terraform
"HTML, CSS, JavaScript, Node.js, MongoDB",Web Developer,html css javascript nodejs mongodb
"Python, Machine Learning, Deep Learning, NLP",AIML,python machine learning deep learning nlp
"Java, Android Development, Kotlin, REST APIs",Mobile Developer,java android development kotlin rest apis
"Python, Flask, JavaScript, PostgreSQL",Full Stack Python Developer,python flask javascript postgresql
"Java, Spring, Angular, Microservices",Full Stack Java Developer,java spring angular microservices
"Adobe Illustrator, Photoshop, UI/UX, Prototyping",Designer,adobe illustrator photoshop uiux prototyping
"SQL, Tableau, Data Analysis, Statistics",Data Analyst,sql tableau data analysis statistics
"C#, Unity, Game Physics, 3D Modeling",Game Developer,c unity game physics d modeling
"AWS, Jenkins, Docker, Ansible",DevOps Engineer,aws jenkins docker ansible
"PHP, WordPress, MySQL, JavaScript",PHP Developer,php wordpress mysql javascript
"Python, TensorFlow, Keras, Data Science",Data Scientist,python tensorflow keras data science
"Blockchain, Smart Contracts, Solidity, Web3",Blockchain Developer,blockchain smart contracts solidity web
"React, JavaScript, HTML, CSS, Redux",Frontend Developer,react javascript html css redux
"Java, Hibernate, SQL, REST APIs",Backend Developer,java hibernate sql rest apis
"Digital Marketing, Google Analytics, SEO, PPC",Marketing,digital marketing google analytics seo ppc
"HR Management, Recruitment, Employee Relations",HR,hr management recruitment employee relations
"C#, .NET Core, Azure, SQL Server",C# Developer,c net core azure sql server
"Swift, iOS, Xcode, Core Data",Mobile Developer,swift ios xcode core data
"Network Security, Ethical Hacking, SIEM",Cybersecurity Engineer,network security ethical hacking siem
"Agile, JIRA, Stakeholder Management",Software Project Manager,agile jira stakeholder management
"Python, R, SQL, Machine Learning",Data Scientist,python r sql machine learning
"Figma, Sketch, UI/UX, Wireframing",Designer,figma sketch uiux wireframing
"Kubernetes, Docker, GCP, CI/CD",Kubernetes Operations Engineer,kubernetes docker gcp cicd
"JavaScript, Node.js, Express, MongoDB",Web Developer,javascript nodejs express mongodb
"Python, Django, PostgreSQL, JavaScript",Full Stack Python Developer,python django postgresql javascript
"Java, Spring Boot, Angular, AWS",Full Stack Java Developer,java spring boot angular aws
"C++, Unreal Engine, VR Development",Game Developer,c unreal engine vr development
"AWS, Terraform, Jenkins, Linux",DevOps Engineer,aws terraform jenkins linux
"PHP, Symfony, MySQL, JavaScript",PHP Developer,php symfony mysql javascript
"Solidity, Web3, Ethereum, JavaScript",Blockchain Developer,solidity web ethereum javascript
"React, TypeScript, HTML, CSS",Frontend Developer,react typescript html css
"Java, Spring, SQL, Microservices",Backend Developer,java spring sql microservices
"Marketing Campaigns, Social Media, Analytics",Marketing,marketing campaigns social media analytics
"HR Policies, Recruitment, Training",HR,hr policies recruitment training
"C#, ASP.NET, SQL Server, Azure",C# Developer,c aspnet sql server azure
"Swift, iOS Development, UI/UX, Core Data",Mobile Developer,swift ios development uiux core data
"Penetration Testing, Firewalls, SIEM",Cybersecurity Engineer,penetration testing firewalls siem
"Scrum, Agile, Project Management",Software Project Manager,scrum agile project management
"Python, Pandas, SQL, Tableau",Data Analyst,python pandas sql tableau
"Kubernetes, Helm, AWS, Docker",Kubernetes Operations Engineer,kubernetes helm aws docker
"HTML, CSS, JavaScript, Vue.js",Web Developer,html css javascript vuejs
"Python, TensorFlow, NLP, Deep Learning",AIML,python tensorflow nlp deep learning
"Java, Kotlin, Android SDK, REST APIs",Mobile Developer,java kotlin android sdk rest apis
"Python, Flask, JavaScript, SQL",Full Stack Python Developer,python flask javascript sql
"Java, Spring, React, AWS",Full Stack Java Developer,java spring react aws
"Adobe XD, Figma, UI/UX, Prototyping",Designer,adobe xd figma uiux prototyping
"SQL, R, Data Visualization, Statistics",Data Analyst,sql r data visualization statistics
"C++, Unity, Game Design, VR",Game Developer,c unity game design vr
"AWS, Jenkins, Docker, Terraform",DevOps Engineer,aws jenkins docker terraform
"PHP, Laravel, MySQL, JavaScript",PHP Developer,php laravel mysql javascript
"Python, TensorFlow, Keras, NLP",Data Scientist,python tensorflow keras nlp
"Solidity, Ethereum, Web3, Blockchain",Blockchain Developer,solidity ethereum web blockchain
"React, JavaScript, HTML, CSS, Redux",Frontend Developer,react javascript html css redux
"Java, Hibernate, SQL, REST APIs",Backend Developer,java hibernate sql rest apis
"Digital Marketing, SEO, PPC, Analytics",Marketing,digital marketing seo ppc analytics
"HR Management, Recruitment, Employee Relations",HR,hr management recruitment employee relations
"C#, .NET Core, Azure, SQL Server",C# Developer,c net core azure sql server
"Swift, iOS, Xcode, UI/UX",Mobile Developer,swift ios xcode uiux
"Network Security, Ethical Hacking, SIEM",Cybersecurity Engineer,network security ethical hacking siem
"Agile, JIRA, Stakeholder Management",Software Project Manager,agile jira stakeholder management
"Python, R, SQL, Machine Learning",Data Scientist,python r sql machine learning
"Figma, Sketch, UI/UX, Wireframing",Designer,figma sketch uiux wireframing
